MONTH_ID,MONTH_DESCRIPTION,MONTH_TIMESPAN,PERIOD_END_DATE,QUARTER_ID,QUARTER_DESCRIPTION,QUARTER_TIMESPAN,QUARTER_END_DATE,YEAR_ID,YEAR_DESCRIPTION,YEAR_TIMESPAN,YEAR_END_DATE
202401,"January, 2024",31,2024-01-31,Q1.2024,"Quarter One, 2024",91,2024-03-31,2024,2024,366,2024-12-31
202402,"February, 2024",29,2024-02-29,Q1.2024,"Quarter One, 2024",91,2024-03-31,2024,2024,366,2024-12-31
202403,"March, 2024",31,2024-03-31,Q1.2024,"Quarter One, 2024",91,2024-03-31,2024,2024,366,2024-12-31
202404,"April, 2024",30,2024-04-30,Q2.2024,"Quarter Two, 2024",91,2024-06-30,2024,2024,366,2024-12-31
202405,"May, 2024",31,2024-05-31,Q2.2024,"Quarter Two, 2024",91,2024-06-30,2024,2024,366,2024-12-31
202406,"June, 2024",30,2024-06-30,Q2.2024,"Quarter Two, 2024",91,2024-06-30,2024,2024,366,2024-12-31
202407,"July, 2024",31,2024-07-31,Q3.2024,"Quarter Three, 2024",92,2024-09-30,2024,2024,366,2024-12-31
202408,"August, 2024",31,2024-08-31,Q3.2024,"Quarter Three, 2024",92,2024-09-30,2024,2024,366,2024-12-31
202409,"September, 2024",30,2024-09-30,Q3.2024,"Quarter Three, 2024",92,2024-09-30,2024,2024,366,2024-12-31
202410,"October, 2024",31,2024-10-31,Q4.2024,"Quarter Four, 2024",92,2024-12-31,2024,2024,366,2024-12-31
202411,"November, 2024",30,2024-11-30,Q4.2024,"Quarter Four, 2024",92,2024-12-31,2024,2024,366,2024-12-31
202412,"December, 2024",31,2024-12-31,Q4.2024,"Quarter Four, 2024",92,2024-12-31,2024,2024,366,2024-12-31
