
========== NATURAL LANGUAGE QUERY ==========
what is the schema of the db

========== GENERATED SQL ==========
SELECT 
    TABLE_SCHEMA,
    TABLE_NAME,
    COLUMN_NAME,
    ORDINAL_POSITION,
    DATA_TYPE,
    CHARACTER_MAXIMUM_LENGTH,
    NUMERIC_PRECISION,
    NUMERIC_SCALE,
    IS_NULLABLE
FROM INFORMATION_SCHEMA.COLUMNS
ORDER BY TABLE_SCHEMA, TABLE_NAME, ORDINAL_POSITION;

========== SQL QUERY RESULTS (TABLE) ==========
TABLE_SCHEMA | TABLE_NAME                        | COLUMN_NAME                   | ORDINAL_POSITION | DATA_TYPE        | CHARACTER_MAXIMUM_LENGTH | NUMERIC_PRECISION | NUMERIC_SCALE | IS_NULLABLE
-------------+-----------------------------------+-------------------------------+------------------+------------------+--------------------------+-------------------+---------------+------------
dbo          | BuildVersion                      | SystemInformationID           | 1                | tinyint          | None                     | 3                 | 0             | NO         
dbo          | BuildVersion                      | Database Version              | 2                | nvarchar         | 25                       | None              | None          | NO         
dbo          | BuildVersion                      | VersionDate                   | 3                | datetime         | None                     | None              | None          | NO         
dbo          | BuildVersion                      | ModifiedDate                  | 4                | datetime         | None                     | None              | None          | NO         
dbo          | ErrorLog                          | ErrorLogID                    | 1                | int              | None                     | 10                | 0             | NO         
dbo          | ErrorLog                          | ErrorTime                     | 2                | datetime         | None                     | None              | None          | NO         
dbo          | ErrorLog                          | UserName                      | 3                | nvarchar         | 128                      | None              | None          | NO         
dbo          | ErrorLog                          | ErrorNumber                   | 4                | int              | None                     | 10                | 0             | NO         
dbo          | ErrorLog                          | ErrorSeverity                 | 5                | int              | None                     | 10                | 0             | YES        
dbo          | ErrorLog                          | ErrorState                    | 6                | int              | None                     | 10                | 0             | YES        
dbo          | ErrorLog                          | ErrorProcedure                | 7                | nvarchar         | 126                      | None              | None          | YES        
dbo          | ErrorLog                          | ErrorLine                     | 8                | int              | None                     | 10                | 0             | YES        
dbo          | ErrorLog                          | ErrorMessage                  | 9                | nvarchar         | 4000                     | None              | None          | NO         
dbo          | FIS_CA_DETAIL_FACT                | CA_DETAIL_KEY                 | 1                | bigint           | None                     | 19                | 0             | NO         
dbo          | FIS_CA_DETAIL_FACT                | CUSTOMER_KEY                  | 2                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CA_DETAIL_FACT                | CA_PRODUCT_KEY                | 3                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_KEY                     | 4                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CA_DETAIL_FACT                | INVESTOR_KEY                  | 5                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CA_DETAIL_FACT                | OWNER_KEY                     | 6                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CA_DETAIL_FACT                | MONTH_ID                      | 7                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CA_DETAIL_FACT                | CA_CURRENCY_CODE              | 8                | nvarchar         | 3                        | None              | None          | NO         
dbo          | FIS_CA_DETAIL_FACT                | FACILITY_ID                   | 9                | nvarchar         | 50                       | None              | None          | NO         
dbo          | FIS_CA_DETAIL_FACT                | AS_OF_DATE                    | 10               | date             | None                     | None              | None          | NO         
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_AMOUNT                  | 11               | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_WITHHELD                | 12               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_USED                    | 13               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_AVAILABLE               | 14               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | PRINCIPAL_AMOUNT_DUE          | 15               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | NUMBER_OF_LIMIT_EXPOSURE      | 16               | int              | None                     | 10                | 0             | YES        
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_VALUE_OF_COLLATERAL     | 17               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_CHARGED_MTD              | 18               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_CHARGED_QTD              | 19               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_CHARGED_YTD              | 20               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_CHARGED_ITD              | 21               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_EARNED_MTD               | 22               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_EARNED_QTD               | 23               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_EARNED_YTD               | 24               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_EARNED_ITD               | 25               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_PAID_MTD                 | 26               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_PAID_QTD                 | 27               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_PAID_YTD                 | 28               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FEES_PAID_ITD                 | 29               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | COMMITMENT_FEE_RATE           | 30               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_CA_DETAIL_FACT                | UTILIZATION_FEE_RATE          | 31               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_CA_DETAIL_FACT                | CONTRACTUAL_OWNERSHIP_PCT     | 32               | decimal          | None                     | 5                 | 4             | YES        
dbo          | FIS_CA_DETAIL_FACT                | ORIGINAL_LIMIT_AMOUNT         | 33               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | FINANCIAL_FX_RATE             | 34               | decimal          | None                     | 18                | 8             | YES        
dbo          | FIS_CA_DETAIL_FACT                | PORTFOLIO_ID                  | 35               | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_STATUS_CODE             | 36               | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_STATUS_DESCRIPTION      | 37               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CA_DETAIL_FACT                | LIMIT_STATUS_DATE             | 38               | date             | None                     | None              | None          | YES        
dbo          | FIS_CA_DETAIL_FACT                | PROBABILITY_OF_DEFAULT        | 39               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_CA_DETAIL_FACT                | LOSS_GIVEN_DEFAULT            | 40               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_CA_DETAIL_FACT                | EXPOSURE_AT_DEFAULT           | 41               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | RISK_WEIGHT_PERCENTAGE        | 42               | decimal          | None                     | 5                 | 2             | YES        
dbo          | FIS_CA_DETAIL_FACT                | REGULATORY_CAPITAL            | 43               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_PRODUCT_KEY                | 1                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_NUMBER                     | 2                | nvarchar         | 20                       | None              | None          | NO         
